Filter: same-concept
Blocker: overlap_3
K: 5
Time: 2.9804203510284424 seconds
Recall: 0.7392996108949417

(1, 'uniswap_v3_pool_USDC_ETH_005', ['uniswap', 'biswap', 'swapp', 'swapr', 'fourswap'], 'uniswap')
(1, 'harvestfinance_fDAI', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'badger'], 'harvestfinance')
(1, 'curvefinance_USDT-DepositUSDT', ['curve', 'sfinance', 'x7finance', 'dexfinance', 'agsfinance'], 'curve')
(1, 'maker_MCD_CLIP_CALC_YFI_A', ['maker', 'stake1', 'acala', 'benqi', 'tenderfinance'], 'maker')
(1, 'harvestfinance_BASED/sUSD:FARM', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'flr'], 'harvestfinance')
(1, 'Huobi 9', ['huobi', 'huobijapan', 'huobikorea', 'yobit', 'probit'], 'huobi')
(1, 'badger_harvest.renCrv', ['badger', 'harvestfinance', 'ren', 'vesper', 'feiprotocol'], 'harvestfinance')
(1, 'Bit-x.com', ['bitcom', 'bitx', 'bitzcom', 'bitznetwork', 'bitcoincom'], 'bitx')
(0, 'synthetix_SynthsGBP', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(0, 'synthetix_SynthiOIL', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'Binance: BGBP Token', ['latoken', 'binance', 'tokenomy', 'tokencan', 'tokenize'], 'binance')
(0, '0x_ExchangeProxyTransformerDeployer-v4', ['xexchange', 'vexchange', '0exchange', 'jexchange', 'oniexchange'], '0x')
(1, 'FYBSG.com', ['fybsg', 'fybse', 'zg', 'zbcom', '796'], 'fybsg')
(0, 'nexus_TokenFunction', ['vesper', 'badger', 'feiprotocol', 'yearnfinance', 'ren'], 'nexus')
(0, 'synthetix_ProxysDOT', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'maker_UNIV2UNIETH', ['maker', 'stake1', 'unilend', 'ethichub', 'unionprotocol'], 'maker')
(0, 'synthetix_ProxyiLTC', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'DigiFinex', ['digifinex', 'bitfinex', 'finexbox', 'resfinex', 'coinex'], 'digifinex')
(0, 'synthetix_ProxysCOMP', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'sushiswap_SushiMaker', ['sushiswap', 'biswap', 'swapr', 'hswap', '1swap'], 'sushiswap')
(1, 'uniswap_V3Migrator', ['uniswap', 'biswap', '1swap', 'jswap', 'miniswap'], 'uniswap')
(1, 'HolyTransaction.com', ['holytransactioncom', 'actioncryptocom', 'allcoincom', 'bitelfincom', 'mybitcoincom'], 'holytransactioncom')
(1, 'maker_PIP_LRC', ['maker', 'stake1', 'benqi', 'multiplierfinance', 'ironbank'], 'maker')
(1, 'aave_aAmmUniDAIUSDC', ['agave', 'aave', 'unilend', 'morphoaave', 'dammfinance'], 'aave')
(1, 'aave_variableDebtTokenAddress - aSNX', ['fluidtokens', 'larix', 'agave', 'fortressloans', 'aave'], 'aave')
(0, 'synthetix_StakingRewardssMSFTBalancer', ['yearnfinance', 'convex', 'harvestfinance', 'tether', 'vesper'], 'synthetix')
(1, 'aave_stableDebtTokenAddress-aAmmUniWBTCWETH', ['ssap', 'agave', 'fluidtokens', 'stake1', 'aave'], 'aave')
(1, 'FTX Exchange', ['ftx', 'xexchange', 'phinix', 'coinmex', 'lcx'], 'ftx')
(1, 'maker_MCD_PAUSE_PROXY', ['maker', 'stake1', 'oxygen', 'bprotocol', 'protonloan'], 'maker')
(1, 'aave_aAmmUniLINKWETH', ['unilend', 'agave', 'aave', 'ethichub', 'morphoaave'], 'aave')
(1, 'Cryptopay.me', ['cryptopayme', 'allcrypt', 'cryptorushin', 'cryptolocker', 'cryptonatorcom'], 'cryptopayme')
(1, 'Compound Tether', ['compound', 'geth', 'morphoaave', 'dogecompounder', 'revert'], 'compound')
(0, 'MaiCoin.com', ['coin', 'dcoin', '1coin', 'coinw', 'coinxtrader'], 'maicoin')
(0, 'Foundry USA', ['1hash', 'antpoolcom', 'btcnuggets', 'sbicrypto', 'kucoin'], 'foundrydigital')
(0, 'barnbridge_EToken WETH/USDC 25/75', ['tether', 'badger', 'yearnfinance', 'vesper', 'feiprotocol'], 'barnbridge')
(1, 'Coin-Sweeper.com', ['coin-sweepercom', 'coin', 'fcoin', 'coinworkercom', 'coin-swapnet'], 'coin-sweepercom')
(1, 'Huobi 4', ['huobi', 'huobijapan', 'huobikorea', 'yobit', 'probit'], 'huobi')
(0, 'synthetix_SynthiDOT', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'compound_StdComptrollerG2', ['compound', 'morphoaave', 'ruler', 'euler', 'commodo'], 'compound')
(1, 'vesper_VLINK-poolRewards', ['vesper', 'harvestfinance', 'badger', 'feiprotocol', 'yearnfinance'], 'vesper')
(0, 'nexus_QuotationData', ['vesper', 'badger', 'feiprotocol', 'yearnfinance', 'ren'], 'nexus')
(1, 'maker_MCD_CLIP_UNIV2DAIUSDT_A', ['maker', 'stake1', 'unilend', 'usdfilending', 'unionprotocol'], 'maker')
(0, 'synthetix_SynthsDEFI', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'compound_Base200bps_Slope222bps_Kink90_Jump40', ['compound', 'morphoaave', 'commodo', 'bastion', 'hundredfinance'], 'compound')
(1, 'BitMart', ['bitmart', 'bitcom', 'bitmarktph', 'bitmarktpl', 'bitme'], 'bitmart')
(1, 'bitfinex Neo/Neogas hot wallet', ['bitfinex', 'bitcom', 'wallex', 'dovewallet', 'bitznetwork'], 'bitfinex')
(1, 'bitfinex Polkadot cold wallet', ['bitfinex', 'bitcom', 'wallex', 'dovewallet', 'nexo'], 'bitfinex')
(0, 'synthetix_TokenStatesDOT', ['chatex', 'tether', 'vesper', 'badger', 'feiprotocol'], 'synthetix')
(0, 'synthetix_ProxysXMR', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'maker_MCD_CLIP_UNIV2UNIETH_A', ['maker', 'stake1', 'unilend', 'ethichub', 'unionprotocol'], 'maker')
(1, 'harvestfinance_WETH-USDC-LP Vault', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'tether'], 'harvestfinance')
(1, 'Bilaxy 1', ['bilaxy', 'beaxy', 'mmfinance', 'claimswap', 'nicechange'], 'bilaxy')
(1, 'aave_variableDebtTokenAddress-aAmmUniDAIWETH', ['ssap', 'fluidtokens', 'larix', 'agave', 'aave'], 'aave')
(1, 'aave_aUSDC', ['agave', 'morphoaave', 'aave', 'usdfilending', 'ironbank'], 'aave')
(1, 'vesper_VUSDC-strategy-aave', ['vesper', 'chatex', 'tether', 'harvestfinance', 'badger'], 'vesper')
(0, 'synthetix_SynthiAAVE', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(0, 'synthetix_ProxysREN', ['ren', 'tether', 'feiprotocol', 'vesper', 'badger'], 'synthetix')
(1, 'badger_teamVesting', ['badger', 'vesper', 'harvestfinance', 'feiprotocol', 'yearnfinance'], 'badger')
(1, 'CoinHako.com', ['coinhako', 'coin', 'dcoin', '1coincom', '1coin'], 'coinhako')
(1, 'aave_variableDebtTokenAddress-aAmmDAI', ['ssap', 'fluidtokens', 'agave', 'larix', 'aave'], 'aave')
(0, 'synthetix_SynthsLTC', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'aave_stableDebtTokenAddress - aWETH', ['fluidtokens', 'agave', 'stake1', 'fortressloans', 'aave'], 'aave')
(1, 'Compound Augur', ['compound', 'augur', 'revert', 'dogecompounder', 'morphoaave'], 'compound')
(1, 'instadapp_AAVE-STAKE-A', ['instadapp', 'stake1', 'aada', 'agave', 'bondappetit'], 'instadapp')
(0, 'Kucoin Shares (KCS)', ['coin', 'dcoin', 'fcoin', '1coincom', '1coin'], 'kucoin')
(1, 'curvefinance_Ownership-Agent', ['curve', 'sfinance', 'nerve', 'x7finance', 'agsfinance'], 'curve')
(1, 'Huobi 28', ['huobi', 'huobijapan', 'huobikorea', 'yobit', 'aprobit'], 'huobi')
(1, 'compound_GovernorAlpha', ['compound', 'morphoaave', 'agora', 'algoliquidgovernance', 'commodo'], 'compound')
(1, 'harvestfinance_YFII Pool', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'feiprotocol'], 'harvestfinance')
(1, 'CoinW 4', ['coin', 'coinw', 'dcoin', 'coinxtrader', '1coin'], 'coinw')
(1, 'aave_aDAI', ['aada', 'morphoaave', 'aave', 'agave', 'orcadao'], 'aave')
(1, 'sushiswap_SushiV2Router02', ['sushiswap', 'biswap', 'swapr', 'hswap', 'jswap'], 'sushiswap')
(1, 'uniswap_ProxyAdmin', ['swapp', 'uniswap', 'miniswap', 'swappi', 'biswap'], 'uniswap')
(1, 'uniswap_UniswapV2ETHUSDTUNIPool', ['uniswap', 'biswap', 'swapp', 'swapr', 'fourswap'], 'uniswap')
(0, 'Slushpool', ['slushpoolcom', 'dpool', 'batpool', 'arkpool', 'aaopool'], 'braiins')
(0, 'Okminer', ['asicminer', 'gbminers', 'kncminercom', 'polminepl', 'bitmintercom'], 'okminer')
(1, 'uniswap_NonfungibleTokenPositionDescriptor', ['uniswap', 'biswap', 'jswap', '1swap', 'kswap'], 'uniswap')
(1, 'instadapp_COMPOUND-A', ['instadapp', 'compound', 'aada', 'morphoaave', 'bondappetit'], 'instadapp')
(0, '0x_OrderValidator-v4', ['nerve', 'vapordex', 'alligator', 'atodex', 'swerve'], '0x')
(0, 'synthetix_LiquidatorRewards', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(0, 'dydx_UsdcPriceOracle42', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'dydx')
(0, 'synthetix_TokenStatesOIL', ['chatex', 'tether', 'vesper', 'badger', 'feiprotocol'], 'synthetix')
(1, '50btc', ['50btccom', 'btccpool', 'btccom', 'btcguildcom', 'btcnuggets'], '50btccom')
(1, 'Kraken 13', ['kraken', 'birake', 'latoken', 'lakebtc', 'sakeswap'], 'kraken')
(1, 'curvefinance_LinkUSD-StableSwapLinkUSD', ['kuswap', 'curve', 'sfinance', 'kswap', 'swapr'], 'curve')
(1, 'maker_PIP_PAXUSD', ['maker', 'stake1', 'usdfilending', 'benqi', 'ironbank'], 'maker')
(1, 'badger_StakingRewards', ['badger', 'vesper', 'feiprotocol', 'yearnfinance', 'ren'], 'badger')
(1, 'bitfinex POLIS hot wallet', ['bitfinex', 'bitcom', 'wallex', 'dovewallet', 'nexo'], 'bitfinex')
(1, 'Coinimal.com', ['coin', 'koinim', '1coin', 'dcoin', 'bitpanda'], 'bitpanda')
(1, 'curvefinance_ankrETH-CurveTokenV3', ['curve', 'sfinance', 'x7finance', 'dfxfinance', 'ginfinance'], 'curve')
(0, '1inch_LimitOrderProtocolV3', ['protofi', 'apexpro', 'unifiprotocol', 'derifyprotocol', 'xswapprotocol'], '1inch')
(1, 'instadapp_InstaMasterProxy137', ['instadapp', 'aada', 'stake1', 'oxygen', 'bondappetit'], 'instadapp')
(1, 'maker_PIP_BAT', ['maker', 'stake1', 'benqi', 'ironbank', 'tenderfinance'], 'maker')
(0, 'synthetix_SynthiTRX', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'deribit reserves', ['deribit', 'bitcom', 'bitznetwork', 'bitx', 'independentreserve'], 'deribit')
(0, 'synthetix_ProxysETH', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(0, 'barnbridge_EPool Helper', ['vesper', 'badger', 'yearnfinance', 'feiprotocol', 'ren'], 'barnbridge')
(1, 'curvefinance_BUSD-LiquidityGauge', ['liquidityfinance', 'curve', 'sfinance', 'x7finance', 'ginfinance'], 'curve')
(1, 'curvefinance_SynthBurner', ['curve', 'sfinance', 'nerve', 'x7finance', 'reffinance'], 'curve')
(0, 'synthetix_ExchangeRates', ['chatex', 'badger', 'tether', 'vesper', 'feiprotocol'], 'synthetix')
(1, 'harvestfinance_RENBTC Vault', ['harvestfinance', 'yearnfinance', 'convex', 'ren', 'vesper'], 'harvestfinance')
(1, 'aave_variableDebtTokenAddress - aZRX', ['fluidtokens', 'larix', 'agave', 'fortressloans', 'aave'], 'aave')
(1, 'Bitstamp: Contract 1', ['bitstamp', 'bitcom', 'bitso', 'bitsten', 'bitstock'], 'bitstamp')
(1, 'Poloniex.com', ['poloniex', 'excoino', 'polyx', 'zbcom', 'zg'], 'poloniex')
(0, 'ENS: Wallet 1', ['ens', 'wallex', 'dovewallet', 'thorwallet', 'ambirewallet'], 'ethereumfoundation')
(1, 'vesper_vBetaUSDC-feeWhiteList', ['vesper', 'tether', 'harvestfinance', 'badger', 'feiprotocol'], 'vesper')
(0, 'synthetix_SynthiBTC', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'Btcguild.com', ['btcguildcom', 'btccom', '50btccom', 'viabtc', 'btccpool'], 'btcguildcom')
(1, 'maker_MCD_DAI', ['maker', 'stake1', 'benqi', 'ironbank', 'tenderfinance'], 'maker')
(1, 'Korbit.co.kr', ['bitcom', 'korbit', 'bitci', 'hanbitco', 'bitx'], 'korbit')
(1, 'curvefinance_PAX-LiquidityGauge', ['liquidityfinance', 'curve', 'sfinance', 'x7finance', 'agsfinance'], 'curve')
(0, 'BitcoinFog', ['sinbadio', 'tornado', 'sideshift', 'blenderio'], 'bitcoinfog')
(0, 'nexus_Governance', ['yearnfinance', 'convex', 'harvestfinance', 'vesper', 'badger'], 'nexus')
(1, 'HappyCoins.com', ['happycoins', 'coin', 'coinse', 'coinscoth', 'coinw'], 'happycoins')
(0, 'synthetix_TokenStatesTRX', ['chatex', 'tether', 'harvestfinance', 'vesper', 'badger'], 'synthetix')
(1, 'bitfinex Bitcoin SV hot wallet', ['bitcom', 'coin', 'bitfinex', 'coinex', 'wallex'], 'bitfinex')
(1, 'fei_Chainlink FEI-ETH', ['chatex', 'tether', 'feiprotocol', 'vesper', 'badger'], 'feiprotocol')
(1, 'maker_PROXY_FACTORY', ['maker', 'stake1', 'oxygen', 'exactly', 'torches'], 'maker')
(1, 'Telco 214', ['telco214', 'f2pool', 'slushpoolcom', 'antpoolcom', 'bitclubnetwork'], 'telco214')
(0, 'synthetix_SynthiCEX', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'maker_MCD_JOIN_UNIV2ETHUSDT_A', ['maker', 'stake1', 'unilend', 'ethichub', 'usdfilending'], 'maker')
(1, 'bitfinex IOTA hot wallet', ['bitfinex', 'bitcom', 'wallex', 'dovewallet', 'bitx'], 'bitfinex')
(1, 'SecureVPN.to', ['securevpnto', 'securedao', 'dappaccountdao', 'insuredao', 'treasuredao'], 'securevpnto')
(1, 'Poloniex: MANA', ['poloniex', 'polyx', 'mmfinance', 'oolongswap', 'maicoin'], 'poloniex')
(1, 'bitfinex NEO cold wallet', ['bitcom', 'bitfinex', 'wallex', 'dovewallet', 'bitzcom'], 'bitfinex')
(1, 'aave_stableDebtTokenAddress - aUSDC', ['agave', 'fluidtokens', 'stake1', 'fortressloans', 'aave'], 'aave')
(0, 'aave_arc_LendingRateOracle', ['klend', 'lendingpond', 'atlendis', 'solend', '0xlend'], 'aave')
(1, 'compound_Configurator', ['compound', 'morphoaave', 'commodo', 'torches', 'hundredfinance'], 'compound')
(1, 'HooToken (HOO)', ['hoo', 'latoken', 'tokencan', 'tokenomy', 'tokenize'], 'hoo')
(1, 'Bitfury', ['bitfuryorg', 'bitcoincom', 'bitcoinrussia', 'bitclubnetwork', 'deepbitnet'], 'bitfuryorg')
(1, 'aave_variableDebtTokenAddress-aAmmBptWBTCWETH', ['ssap', 'fluidtokens', 'agave', 'larix', 'aave'], 'aave')
(1, 'CoinPayments.net', ['coinpaymentsnet', 'coin', 'fcoin', 'betcoinsnet', 'coinmkt'], 'coinpaymentsnet')
(0, 'nexus_Pool2', ['vesper', 'badger', 'feiprotocol', 'yearnfinance', 'ren'], 'nexusprotocol')
(1, 'Binance 19', ['binance', 'mmfinance', 'jetfuelfinance', 'fraxfinance', 'algebrafinance'], 'binance')
(1, 'aave_variableDebtTokenAddress - aUNI', ['agave', 'larix', 'fluidtokens', 'fortressloans', 'aave'], 'aave')
(1, 'instadapp_1INCH-A', ['instadapp', 'aada', 'goldfinch', 'anchor', 'stake1'], 'instadapp')
(0, 'ShapeShift 4', ['busha', 'yapeswap', 'apeswap', 'apexswap', 'meshswap'], 'shapeshift')
(1, 'BitPay.com', ['bitpaycom', 'bitnzcom', 'bitcoinwalletcom', 'bitelfincom', 'mybitcoincom'], 'bitpaycom')
(1, 'curvefinance_RSV-StableSwapRSV', ['swapr', 'curve', 'sfinance', 'swapp', 'kswap'], 'curve')
(1, 'harvestfinance_fCRV-HUSD', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'tether'], 'harvestfinance')
(1, 'maker_GET_CDPS', ['maker', 'stake1', 'benqi', 'ironbank', 'tenderfinance'], 'maker')
(1, 'Coinhako: Warm Wallet', ['coinhako', 'coin', 'wallex', 'coinw', 'fcoin'], 'coinhako')
(0, 'dydx_PolynomialInterestSetter42', ['harvestfinance', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'dydx')
(0, 'Bitpanda Ecosystem Token (BEST)', ['bitcom', 'marsecosystem', 'latoken', 'tokencan', 'bitznetwork'], 'bitpanda')
(1, 'maker_MCD_CLIP_CALC_UNIV2LINKETH_A', ['maker', 'market', 'stake1', 'unilend', 'ethichub'], 'maker')
(1, 'BTC-Alpha Exchange', ['btcalpha', 'xexchange', 'btcexchange', 'kuna', 'xenaexchange'], 'btcalpha')
(1, 'Binance 20', ['binance', 'mmfinance', 'jetfuelfinance', 'fraxfinance', 'algebrafinance'], 'binance')
(0, 'aave_stableDebtTokenAddress - aMANA', ['fluidtokens', 'agave', 'yupana', 'stake1', 'fortressloans'], 'aave')
(1, 'binance reserve wallets BUSD', ['dovewallet', 'wallex', 'curve', 'binance', 'reffinance'], 'binance')
(0, '0x_DevUtils-v3', ['xdefi', 'zilswap', 'rhinofi', 'mmfinance', 'dfxfinance'], '0x')
(0, 'dydx_DaiPriceOracle1', ['vesper', 'badger', 'feiprotocol', 'yearnfinance', 'ren'], 'dydx')
(0, 'nexus_ProposalCategory', ['chatex', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'nexus')
(1, 'harvestfinance_PYLON:FARM', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'flr'], 'harvestfinance')
(1, 'PandoraOpenMarket', ['pandoraopenmarket', 'agoramarket', 'babylonmarket', 'opendao', 'evolutionmarket'], 'pandoraopenmarket')
(1, 'aave_variableDebtTokenAddress - aBAL', ['fluidtokens', 'larix', 'agave', 'fortressloans', 'aave'], 'aave')
(1, 'badger_BadgerTree', ['badger', 'vesper', 'feiprotocol', 'yearnfinance', 'ren'], 'badger')
(1, 'compound_PriceData', ['compound', 'morphoaave', 'commodo', 'apricotfinance', 'hundredfinance'], 'compound')
(1, 'Coinbase 5', ['coinbase', 'coin', '1coin', '1coincom', 'dcoin'], 'coinbase')
(1, 'huobi reserve wallets LTC', ['huobi', 'dovewallet', 'wallex', 'huobijapan', 'huobikorea'], 'huobi')
(1, 'BitMartToken (BMC)', ['bitmart', 'bitcom', 'bitme', 'bitmain', 'latoken'], 'bitmart')
(1, 'compound_Compoundv3Admin', ['compound', 'morphoaave', 'commodo', 'quickswap', 'hundredfinance'], 'compound')
(0, 'synthetix_StakingRewardssTSLABalancer', ['yearnfinance', 'convex', 'harvestfinance', 'tether', 'vesper'], 'synthetix')
(0, 'barnbridge_bb_aUSDT (Aave)', ['tether', 'badger', 'yearnfinance', 'vesper', 'feiprotocol'], 'barnbridge')
(0, 'synthetix_ProxysFB', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(1, 'BlockTrades.us', ['blocktrades', 'tradeio', 'dextrade', 'localtrade', 'therocktrading'], 'blocktrades')
(1, 'Huobi 17', ['huobi', 'huobijapan', 'huobikorea', 'yobit', 'aprobit'], 'huobi')
(1, 'maker_MCD_CLIP_CALC_UNIV2WBTCETH_A', ['maker', 'stake1', 'unilend', 'ethichub', 'unionprotocol'], 'maker')
(0, 'kucoin USDT reserves', ['coin', 'dcoin', '1coincom', '1coin', 'coinxtrader'], 'kucoin')
(1, 'ABCC Token (AT)', ['abcc', 'latoken', 'tokencan', 'tokenize', 'tokenomy'], 'abcc')
(0, 'aave_rwa_PermissionedLendingPoolAddressProviderRegistry', ['klend', 'lendingpond', 'everlend', '0xlend', 'atlendis'], 'aave')
(1, 'renvm_BasicAdapter', ['ren', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'ren')
(1, 'compound_cWBTC', ['compound', 'morphoaave', 'commodo', 'fountainprotocol', 'hundredfinance'], 'compound')
(0, 'synthetix_CircuitBreaker', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'Bitkub Hot Wallet 1', ['bitkub', 'bitcom', 'wallex', 'dovewallet', 'bitznetwork'], 'bitkub')
(0, 'Poolin', ['dpool', 'f2pool', 'btccpool', 'batpool', 'antpoolcom'], 'poolin')
(1, 'Kraken 10', ['kraken', 'birake', 'latoken', 'lakebtc', 'sakeswap'], 'kraken')
(1, 'harvestfinance_DAI Pool', ['harvestfinance', 'yearnfinance', 'convex', 'vesper', 'feiprotocol'], 'harvestfinance')
(1, 'badger_daoProxyAdmin', ['badger', 'feiprotocol', 'vesper', 'yearnfinance', 'ren'], 'badger')
(0, 'synthetix_RewardEscrow', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(0, 'synthetix_VirtualSynthMastercopy', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'Binance 26', ['binance', 'mmfinance', 'jetfuelfinance', 'fraxfinance', 'algebrafinance'], 'binance')
(1, 'Bitcoin-24.com', ['bitcoin24', 'coin', 'fcoin', '10xbitcoin', 'bitcoinfog'], 'bitcoin24')
(0, 'synthetix_AddressResolver', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'harvestfinance_fRENBTC', ['harvestfinance', 'yearnfinance', 'convex', 'ren', 'vesper'], 'harvestfinance')
(1, 'ChBtc.com', ['btcc', 'chbtc', 'btce', 'zg', 'btcex'], 'chbtc')
(1, 'Huobi Token', ['huobi', 'xtoken', 'latoken', 'tokencan', 'tokenomy'], 'huobi')
(1, 'Poloniex: USDC', ['poloniex', 'polyx', 'oolongswap', 'polyzap', 'graviex'], 'poloniex')
(1, 'maker_MCD_CLIP_CALC_RENBTC_A', ['maker', 'credix', 'scream', 'stake1', 'wildcredit'], 'maker')
(0, 'synthetix_ProxysJPY', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(0, 'aave_variableDebtTokenAddress-aAmmUniRENWETH', ['ssap', 'fluidtokens', 'larix', 'agave', 'unilend'], 'aave')
(0, 'synthetix_ProxyERC20', ['tether', 'feiprotocol', 'vesper', 'badger', 'yearnfinance'], 'synthetix')
(0, 'synthetix_SynthsBTC', ['tether', 'vesper', 'badger', 'feiprotocol', 'yearnfinance'], 'synthetix')
(1, 'BTCJam.com', ['btcjamcom', 'btctcom', '50btccom', 'btcstcom-pirateat40', 'btcdicecom'], 'btcjamcom')
(1, 'vesper_VVSP-feeWhiteList', ['vesper', 'harvestfinance', 'badger', 'feiprotocol', 'yearnfinance'], 'vesper')
(0, 'ULTIMUS POOL', ['dpool', 'emcdpool', 'aaopool', 'batpool', 'arkpool'], 'ultimus')
